Distance,Intensity
0.000,65535.0000
0.087,65507.0117
0.173,65524.9727
0.260,65508.0820
0.347,65529.9180
0.433,65518.0859
0.520,65524.0664
0.607,65516.9844
0.693,65517.1445
0.780,65527.9570
0.867,65534.7109
0.953,65535.0000
1.040,65534.8672
1.127,65529.9336
1.213,65534.8320
1.300,65534.9844
1.387,65524.9062
1.473,65519.2539
1.560,65522.1445
1.647,65501.6445
1.733,65530.0977
1.820,65535.0000
1.907,65523.8242
1.993,65526.2070
2.080,65526.8789
2.167,65521.1758
2.253,65519.0273
2.340,65519.2148
2.427,65524.1680
2.513,65505.4609
2.600,65514.9102
2.687,65511.0312
2.773,65521.9688
2.860,65531.2773
2.947,65534.0352
3.033,65520.6172
3.120,65522.5703
3.207,65528.7422
3.293,65508.7188
3.380,65535.0000
3.467,65526.0000
3.553,65511.5312
3.640,65525.4180
3.727,65531.5273
3.813,65523.2617
3.900,65534.0000
3.987,65528.6328
4.073,65513.2344
4.160,65515.8125
4.247,65521.3906
4.334,65520.5469
4.420,65522.8984
4.507,65519.3633
4.594,65508.1602
4.680,65523.8398
4.767,65516.1641
4.854,65534.3867
4.940,65519.9102
5.027,65517.0977
5.114,65513.9414
5.200,65533.6836
5.287,65526.2109
5.374,65526.3086
5.460,65533.6836
5.547,65525.1914
5.634,65532.8047
5.720,65534.0664
5.807,65535.0000
5.894,65518.7305
5.980,65516.0977
6.067,65512.5586
6.154,65527.2930
6.240,65534.2812
6.327,65513.3086
6.414,65522.9570
6.500,65515.8203
6.587,65520.9258
6.674,65515.3789
6.760,65517.9219
6.847,65515.3164
6.934,65532.5312
7.020,65505.5664
7.107,65535.0000
7.194,65530.9180
7.280,65515.5859
7.367,65522.1680
7.454,65529.1719
7.540,65515.8203
7.627,65521.0000
7.714,65525.0234
7.800,65505.0742
7.887,65500.5430
7.974,65510.5352
8.060,65506.9258
8.147,65503.3125
8.234,65509.8516
8.320,65504.6172
8.407,65505.0977
8.494,65509.2695
8.580,65513.9414
8.667,65488.6914
8.754,65520.5977
8.840,65506.9844
8.927,65497.5625
9.014,65497.6211
9.100,65498.1055
9.187,65504.5781
9.274,65499.4688
9.360,65504.1406
9.447,65503.9141
9.534,65499.9062
9.620,65494.7734
9.707,65487.6719
9.794,65510.7617
9.880,65511.4531
9.967,65496.7188
10.054,65518.4570
10.140,65505.0664
10.227,65512.2383
10.314,65504.5273
10.400,65497.6289
10.487,65500.2773
10.574,65503.2148
10.660,65500.0195
10.747,65494.0000
10.834,65517.7578
10.920,65502.5078
11.007,65509.3672
11.094,65502.1289
11.180,65503.6406
11.267,65501.0938
11.354,65518.1719
11.440,65502.2344
11.527,65507.6016
11.614,65493.6055
11.700,65510.0938
11.787,65500.4062
11.874,65497.8633
11.960,65511.7617
12.047,65494.5859
12.134,65494.3945
12.220,65516.5938
12.307,65512.4336
12.394,65503.1445
12.480,65502.9961
12.567,65509.6992
12.654,65497.8555
12.741,65491.4648
12.827,65508.8203
12.914,65510.2188
13.001,65494.5977
13.087,65507.2930
13.174,65487.9688
13.261,65493.0664
13.347,65499.1406
13.434,65503.8398
13.521,65499.7383
13.607,65511.0625
13.694,65504.5273
13.781,65493.0586
13.867,65497.2734
13.954,65508.8320
14.041,65495.9688
14.127,65504.9727
14.214,65491.3281
14.301,65507.3164
14.387,65503.8516
14.474,65502.6719
14.561,65488.8438
14.647,65506.3164
14.734,65510.5977
14.821,65501.7656
14.907,65499.3164
14.994,65507.6211
15.081,65498.1602
15.167,65517.7695
15.254,65503.9297
15.341,65508.7031
15.427,65505.6328
15.514,65497.7148
15.601,65495.2812
15.687,65496.0664
15.774,65499.5430
15.861,65508.6367
15.947,65497.5352
16.034,65505.4219
16.121,65508.0352
16.207,65517.7461
16.294,65504.6250
16.381,65507.1875
16.467,65516.8633
16.554,65516.1445
16.641,65494.9570
16.727,65518.3867
