Distance,Intensity
27.648,65500.0000
27.734,65504.6367
27.821,65491.6406
27.908,65496.3203
27.994,65496.3203
28.081,65494.2578
28.168,65498.7344
28.254,65492.9219
28.341,65497.6523
28.428,65496.3281
28.514,65496.6875
28.601,65501.0156
28.688,65494.6367
28.774,65493.6602
28.861,65498.0039
28.948,65509.3320
29.034,65503.0039
29.121,65500.0039
29.208,65497.3281
29.295,65501.3164
29.381,65502.0000
29.468,65507.2891
29.555,65516.0195
29.641,65517.0430
29.728,65502.3398
29.815,65529.5195
29.901,65517.2773
29.988,65520.5547
30.075,65520.9648
30.161,65520.7734
30.248,65514.4297
30.335,65512.9531
30.421,65510.1953
30.508,65523.4297
30.595,65517.3750
30.681,65525.3594
30.768,65524.1094
30.855,65518.3281
30.941,65516.0000
31.028,65527.2852
31.115,65532.4961
31.201,65532.4336
31.288,65531.0430
31.375,65511.5234
31.461,65525.9609
31.548,65531.3750
31.635,65528.0938
31.721,65514.3633
31.808,65514.8477
31.895,65518.0312
31.981,65528.0156
32.068,65514.2109
32.155,65524.0000
32.241,65514.7070
32.328,65508.2031
32.415,65529.2734
32.501,65527.9023
32.588,65524.3672
32.675,65509.2578
32.761,65513.5078
32.848,65525.5820
32.935,65518.7031
33.021,65520.3086
33.108,65522.8594
33.195,65511.4336
33.281,65523.0000
33.368,65515.0820
33.455,65526.8477
33.541,65521.8438
33.628,65525.5469
33.715,65517.4766
33.801,65522.3867
33.888,65526.0547
33.975,65533.8281
34.061,65520.0430
34.148,65529.5078
34.235,65535.0000
34.321,65507.3398
34.408,65524.7227
34.495,65521.1172
34.581,65527.7812
34.668,65521.6250
34.755,65527.8125
34.841,65516.0039
34.928,65526.8086
35.015,65516.4141
35.101,65530.5977
35.188,65521.8945
35.275,65521.3242
35.361,65524.4336
35.448,65529.7031
35.535,65525.5508
35.621,65519.7734
35.708,65532.6406
35.795,65524.1211
35.881,65517.3516
35.968,65512.6914
36.055,65527.9297
36.141,65530.8477
36.228,65524.0000
36.315,65523.3477
36.401,65521.1836
36.488,65534.4180
36.575,65527.4648
36.661,65519.1562
36.748,65528.2656
36.835,65521.3789
36.921,65530.7578
37.008,65529.2969
37.095,65534.5742
37.181,65524.6914
37.268,65522.1445
37.355,65509.1445
37.441,65526.9883
37.528,65512.5859
37.615,65511.0781
37.702,65513.1016
37.788,65504.9609
37.875,65505.4922
37.962,65507.5625
38.048,65493.2461
38.135,65496.4492
38.222,65500.8789
38.308,65501.2031
38.395,65495.8242
38.482,65502.3477
38.568,65502.1250
38.655,65497.1133
38.742,65493.8906
38.828,65498.5547
38.915,65500.6836
39.002,65494.3438
39.088,65513.6094
39.175,65504.3555
39.262,65508.1602
39.348,65506.4531
39.435,65505.7969
39.522,65513.8242
39.608,65513.1641
39.695,65499.5430
39.782,65516.4023
39.868,65511.2930
39.955,65512.4297
40.042,65515.3203
40.128,65527.1602
40.215,65529.6875
40.302,65523.5156
40.388,65521.7852
40.475,65533.6055
40.562,65522.2031
40.648,65534.5312
40.735,65523.0234
40.822,65532.3438
40.908,65528.8867
40.995,65524.0078
41.082,65524.6133
41.168,65523.1602
41.255,65495.6211
41.342,65525.0508
41.428,65531.0000
41.515,65535.0000
41.602,65519.3945
41.688,65531.6445
41.775,65522.0391
41.862,65532.5938
41.948,65521.0195
42.035,65527.0352
42.122,65522.0625
42.208,65506.5156
42.295,65519.5820
42.382,65520.3359
42.468,65520.1758
42.555,65528.9766
42.642,65528.4102
42.728,65530.0000
42.815,65527.4766
42.902,65512.5469
42.988,65526.1094
43.075,65535.0000
43.162,65534.4961
43.248,65520.0117
43.335,65530.4805
43.422,65526.4844
43.508,65516.0000
43.595,65519.4961
43.682,65522.5352
43.768,65523.5703
43.855,65515.4492
43.942,65535.0000
44.028,65515.4922
44.115,65527.4102
44.202,65525.4297
44.288,65529.5078
44.375,65518.1602
44.462,65525.1328
44.548,65523.5586
44.635,65530.6172
44.722,65524.7227
44.808,65535.0000
44.895,65523.3555
44.982,65532.1016
45.068,65524.6406
45.155,65527.2656
45.242,65527.0391
45.328,65524.8125
45.415,65530.9570
45.502,65535.0000
45.588,65524.0938
45.675,65522.1719
45.762,65535.0000
45.848,65521.4727
45.935,65526.2227
46.022,65528.4062
46.109,65516.9922
46.195,65529.7539
46.282,65520.2539
46.369,65533.9336
46.455,65532.8633
46.542,65523.8594
46.629,65524.7852
46.715,65527.9805
46.802,65528.0078
46.889,65527.5391
46.975,65531.2227
47.062,65525.8164
47.149,65530.1680
47.235,65530.2852
47.322,65522.2969
47.409,65523.6211
47.495,65515.1758
47.582,65522.9688
47.669,65531.1914
47.755,65508.8047
47.842,65513.0469
47.929,65507.8555
48.015,65510.5156
48.102,65506.1055
48.189,65497.2461
48.275,65509.9844
48.362,65506.5586
48.449,65492.6484
48.535,65498.9805
48.622,65500.8828
48.709,65501.0000
48.795,65499.8789
48.882,65492.0664
48.969,65495.4961
49.055,65507.0547
49.142,65507.0000
49.229,65503.4336
49.315,65512.3008
49.402,65505.1875
49.489,65507.1562
49.575,65511.6953
49.662,65510.1367
49.749,65525.2891
49.835,65515.5625
49.922,65521.6055
50.009,65522.9297
50.095,65524.2422
50.182,65524.8086
50.269,65509.7578
50.355,65517.2148
50.442,65522.9414
50.529,65529.1914
50.615,65533.3281
50.702,65524.9844
50.789,65519.7461
50.875,65523.3086
50.962,65518.9727
51.049,65521.4805
51.135,65514.7109
51.222,65523.8164
51.309,65524.4844
51.395,65520.6719
51.482,65509.0820
51.569,65521.1094
51.655,65533.3750
51.742,65526.2148
51.829,65535.0000
51.915,65527.6289
52.002,65515.9883
52.089,65527.8164
52.175,65522.2070
52.262,65527.0117
52.349,65528.9844
52.435,65524.0000
52.522,65528.3594
52.609,65524.1641
52.695,65521.7617
52.782,65527.9180
52.869,65515.7461
52.955,65517.9961
53.042,65529.5156
53.129,65524.4531
53.215,65527.6602
53.302,65529.7109
53.389,65524.3203
53.475,65512.0742
53.562,65511.1562
53.649,65517.7383
53.735,65518.7070
53.822,65527.8047
53.909,65528.6719
53.995,65533.1016
54.082,65522.5156
54.169,65533.8672
54.256,65526.0117
54.342,65525.9883
54.429,65519.0000
54.516,65530.8906
54.602,65533.5117
