Distance,Intensity
27.648,65497.7305
27.734,65496.0859
27.821,65501.2773
27.908,65512.2461
27.994,65500.6094
28.081,65485.6133
28.168,65500.0859
28.254,65489.6484
28.341,65501.5352
28.428,65500.3086
28.514,65501.4141
28.601,65496.6719
28.688,65504.9570
28.774,65498.0000
28.861,65499.0312
28.948,65515.3516
29.034,65497.6680
29.121,65496.3594
29.208,65505.9922
29.295,65496.3555
29.381,65509.0000
29.468,65500.0156
29.555,65512.0391
29.641,65513.5703
29.728,65509.7812
29.815,65513.3711
29.901,65502.1562
29.988,65513.8633
30.075,65516.0234
30.161,65523.8125
30.248,65515.6523
30.335,65512.7891
30.421,65527.8438
30.508,65521.0391
30.595,65526.5625
30.681,65523.7188
30.768,65525.4648
30.855,65512.7109
30.941,65520.3555
31.028,65525.5117
31.115,65527.2891
31.201,65514.4727
31.288,65527.0898
31.375,65525.6250
31.461,65523.2539
31.548,65522.8867
31.635,65514.7266
31.721,65528.0742
31.808,65518.5039
31.895,65528.4648
31.981,65526.7930
32.068,65518.8945
32.155,65502.5000
32.241,65521.1133
32.328,65509.9727
32.415,65523.3711
32.501,65519.6133
32.588,65520.7422
32.675,65522.5039
32.761,65526.3398
32.848,65521.2852
32.935,65515.7578
33.021,65530.3789
33.108,65508.1836
33.195,65516.8047
33.281,65525.2617
33.368,65531.3164
33.455,65516.7656
33.541,65523.2188
33.628,65510.3203
33.715,65515.7109
33.801,65534.3867
33.888,65523.0117
33.975,65527.8750
34.061,65522.0391
34.148,65522.9727
34.235,65533.3945
34.321,65522.5508
34.408,65528.8125
34.495,65526.9648
34.581,65531.4219
34.668,65523.8047
34.755,65521.8125
34.841,65521.2070
34.928,65517.4375
35.015,65513.4375
35.101,65518.0000
35.188,65535.0000
35.275,65525.0000
35.361,65523.7500
35.448,65521.2969
35.535,65513.7734
35.621,65527.6367
35.708,65527.0000
35.795,65523.0703
35.881,65530.5859
35.968,65527.1445
36.055,65512.6562
36.141,65521.1680
36.228,65533.2500
36.315,65523.5742
36.401,65526.2734
36.488,65531.6445
36.575,65529.7383
36.661,65517.1641
36.748,65510.6016
36.835,65526.9570
36.921,65524.8789
37.008,65526.0703
37.095,65535.0000
37.181,65518.3906
37.268,65533.7148
37.355,65529.4258
37.441,65516.1641
37.528,65512.3945
37.615,65504.4023
37.702,65512.9336
37.788,65501.0000
37.875,65509.5664
37.962,65513.2227
38.048,65503.1211
38.135,65501.8867
38.222,65505.9258
38.308,65508.0391
38.395,65499.2070
38.482,65500.6914
38.568,65504.9102
38.655,65493.4453
38.742,65496.7734
38.828,65498.9844
38.915,65503.9180
39.002,65491.2070
39.088,65497.8555
39.175,65510.2969
39.262,65498.9648
39.348,65514.5234
39.435,65503.2969
39.522,65514.9102
39.608,65514.0078
39.695,65507.9297
39.782,65519.6289
39.868,65522.2891
39.955,65518.6719
40.042,65522.8398
40.128,65522.6172
40.215,65517.1680
40.302,65530.9258
40.388,65528.5039
40.475,65534.0703
40.562,65529.6680
40.648,65531.4688
40.735,65528.4453
40.822,65522.4062
40.908,65528.8867
40.995,65524.5938
41.082,65530.2500
41.168,65533.1094
41.255,65520.4219
41.342,65522.9492
41.428,65529.7617
41.515,65525.0664
41.602,65518.2188
41.688,65529.2500
41.775,65524.2383
41.862,65534.4805
41.948,65525.1445
42.035,65527.0000
42.122,65533.5469
42.208,65515.7031
42.295,65520.9453
42.382,65528.3320
42.468,65522.3203
42.555,65535.0000
42.642,65522.3906
42.728,65533.4727
42.815,65527.3789
42.902,65526.1133
42.988,65522.0469
43.075,65522.0508
43.162,65520.5273
43.248,65532.0195
43.335,65515.0352
43.422,65526.5156
43.508,65522.5000
43.595,65535.0000
43.682,65519.9961
43.768,65509.5156
43.855,65518.0078
43.942,65535.0000
44.028,65506.4922
44.115,65515.8867
44.202,65528.9062
44.288,65532.4570
44.375,65522.7109
44.462,65532.5547
44.548,65527.8555
44.635,65527.5664
44.722,65511.2891
44.808,65535.0000
44.895,65522.6445
44.982,65535.0000
45.068,65524.0703
45.155,65535.0000
45.242,65530.4414
45.328,65525.8984
45.415,65518.3047
45.502,65529.8164
45.588,65527.1406
45.675,65522.1484
45.762,65529.3125
45.848,65518.0977
45.935,65531.3594
46.022,65518.7617
46.109,65524.7695
46.195,65523.2109
46.282,65524.2148
46.369,65517.9414
46.455,65517.1367
46.542,65520.3945
46.629,65516.3906
46.715,65522.1484
46.802,65523.6211
46.889,65517.5430
46.975,65531.7617
47.062,65519.6719
47.149,65535.0000
47.235,65521.5977
47.322,65517.0547
47.409,65515.9180
47.495,65510.1836
47.582,65515.7344
47.669,65519.9297
47.755,65521.8672
47.842,65517.7461
47.929,65498.4219
48.015,65514.5195
48.102,65505.3164
48.189,65496.6016
48.275,65497.5547
48.362,65485.3320
48.449,65498.6484
48.535,65498.7891
48.622,65490.7930
48.709,65500.1523
48.795,65493.7305
48.882,65489.4922
48.969,65489.0000
49.055,65494.0000
49.142,65496.9531
49.229,65494.4336
49.315,65507.0664
49.402,65495.9180
49.489,65509.0977
49.575,65495.4180
49.662,65509.8477
49.749,65508.5664
49.835,65511.1289
49.922,65529.1641
50.009,65515.5742
50.095,65522.7266
50.182,65513.8477
50.269,65519.7773
50.355,65506.8984
50.442,65519.3906
50.529,65520.6133
50.615,65501.8242
50.702,65529.9219
50.789,65524.3320
50.875,65526.9375
50.962,65528.0000
51.049,65527.4531
51.135,65531.7031
51.222,65526.3633
51.309,65521.0000
51.395,65529.4961
51.482,65521.7188
51.569,65530.9258
51.655,65535.0000
51.742,65524.0000
51.829,65527.0234
51.915,65517.5977
52.002,65524.9648
52.089,65529.7812
52.175,65526.0078
52.262,65528.6055
52.349,65511.9844
52.435,65529.0391
52.522,65521.5664
52.609,65516.5352
52.695,65526.3242
52.782,65526.0312
52.869,65530.2891
52.955,65527.6953
53.042,65522.6094
53.129,65518.2227
53.215,65516.2227
53.302,65513.5625
53.389,65515.6562
53.475,65520.5547
53.562,65520.3125
53.649,65526.4531
53.735,65521.4141
53.822,65512.4102
53.909,65509.6641
53.995,65528.9648
54.082,65519.8906
54.169,65530.6406
54.256,65532.5078
54.342,65522.7383
54.429,65524.1250
54.516,65525.0000
54.602,65531.5117
54.689,65526.8281
54.776,65529.0703
54.862,65517.7188
54.949,65529.1055
55.036,65509.9844
55.122,65517.9648
55.209,65535.0000
55.296,65523.8945
55.382,65531.0000
55.469,65495.3516
55.556,65526.0625
55.642,65522.8047
55.729,65516.9219
55.816,65522.4336
55.902,65524.9883
55.989,65527.5742
56.076,65514.5547
56.162,65520.3633
56.249,65522.6562
56.336,65524.4727
56.422,65522.0547
56.509,65532.5469
56.596,65523.5430
56.682,65526.6055
56.769,65516.5664
56.856,65533.9609
56.942,65518.3438
57.029,65532.2422
57.116,65530.8750
57.202,65527.8047
57.289,65531.7070
57.376,65523.5078
57.462,65517.5859
57.549,65532.9688
57.636,65526.3125
57.722,65523.3164
57.809,65511.6797
57.896,65513.7070
57.982,65512.6680
58.069,65511.3359
58.156,65508.3359
58.242,65508.3555
58.329,65506.0000
58.416,65500.0273
58.502,65504.0156
58.589,65494.5938
58.676,65496.9297
58.762,65497.3516
58.849,65495.7070
58.936,65506.2266
59.022,65507.7148
59.109,65504.1133
59.196,65502.1953
59.282,65491.2305
59.369,65498.7188
59.456,65510.0820
59.542,65502.1055
59.629,65507.0000
59.716,65504.7852
59.802,65518.0586
59.889,65509.0000
59.976,65521.7578
60.062,65515.9727
60.149,65507.4844
60.236,65525.6133
60.322,65527.9453
60.409,65522.5039
60.496,65532.9141
60.582,65531.6602
60.669,65526.6328
60.756,65526.3008
60.842,65531.9922
60.929,65521.8047
61.016,65516.0898
61.102,65534.2969
61.189,65530.5469
61.276,65528.8164
61.362,65519.2305
61.449,65531.7695
61.536,65532.1211
61.622,65516.2930
61.709,65528.0352
61.796,65521.9141
61.882,65517.1758
61.969,65529.5312
62.056,65526.9688
62.142,65533.1406
62.229,65521.5859
62.316,65527.5547
62.402,65526.7969
62.489,65515.0000
62.576,65513.8086
62.663,65523.3594
62.749,65517.8359
62.836,65527.0586
62.923,65529.6758
63.009,65511.7930
63.096,65535.0000
63.183,65532.2617
63.269,65522.0898
63.356,65528.4453
63.443,65520.3750
63.529,65530.4102
63.616,65531.2344
63.703,65525.2500
63.789,65516.1328
63.876,65524.9375
63.963,65529.5898
64.049,65517.9023
64.136,65514.5820
64.223,65522.7383
64.309,65523.1758
64.396,65523.7812
64.483,65532.6680
64.569,65534.2578
64.656,65532.9453
64.743,65535.0000
64.829,65524.5703
64.916,65514.2852
65.003,65525.0117
65.089,65525.4727
65.176,65527.7539
65.263,65517.2500
65.349,65520.2383
65.436,65526.5195
65.523,65517.7305
65.609,65524.2305
65.696,65532.2852
65.783,65513.5898
65.869,65515.8125
65.956,65530.4023
66.043,65527.1445
66.129,65525.1992
66.216,65523.5859
66.303,65531.6680
66.389,65509.0508
66.476,65529.8086
66.563,65524.9453
66.649,65518.8281
66.736,65520.2617
66.823,65528.0898
66.909,65516.5391
66.996,65522.3203
67.083,65510.3516
67.169,65526.3320
67.256,65531.9102
67.343,65528.8086
67.429,65528.5234
67.516,65520.8633
67.603,65509.0977
67.689,65512.1094
67.776,65528.8086
67.863,65521.0000
67.949,65499.6289
68.036,65503.4727
68.123,65504.4336
68.209,65504.6484
68.296,65517.0625
68.383,65497.4297
68.469,65508.8828
68.556,65497.6953
68.643,65503.6758
68.729,65493.2109
68.816,65500.0469
68.903,65497.6250
68.989,65501.3086
69.076,65497.9688
69.163,65493.2070
69.249,65504.7734
69.336,65509.1250
69.423,65498.4141
69.509,65505.7734
69.596,65494.0000
69.683,65511.0156
69.769,65515.0273
69.856,65510.5508
69.943,65500.0000
70.029,65513.1250
70.116,65514.4453
70.203,65519.4766
70.289,65520.3086
70.376,65527.3672
70.463,65522.3789
70.549,65527.0547
70.636,65523.2461
70.723,65530.0625
70.810,65534.2539
70.896,65530.7422
70.983,65515.4727
71.070,65515.0977
71.156,65529.6367
71.243,65534.8203
71.330,65523.1953
71.416,65533.5664
71.503,65515.3164
71.590,65513.0156
71.676,65528.4102
71.763,65529.7031
71.850,65535.0000
71.936,65523.0938
72.023,65525.8281
72.110,65524.3711
72.196,65531.4219
72.283,65527.9531
72.370,65521.3281
72.456,65524.9922
72.543,65515.5000
72.630,65521.6523
72.716,65533.1914
72.803,65521.4492
72.890,65513.6758
72.976,65512.3555
73.063,65531.1523
73.150,65517.1875
73.236,65524.0586
73.323,65522.3164
73.410,65521.0273
73.496,65515.5742
73.583,65533.7656
73.670,65519.7617
73.756,65519.5234
73.843,65526.5156
73.930,65529.9023
74.016,65523.2188
74.103,65524.0000
74.190,65513.7070
74.276,65534.2695
74.363,65534.8555
74.450,65520.6875
74.536,65509.2852
74.623,65528.4375
74.710,65531.6055
74.796,65533.7188
74.883,65531.4414
74.970,65525.6172
75.056,65518.4141
75.143,65532.1328
75.230,65533.7812
75.316,65527.5195
75.403,65523.7344
75.490,65526.4844
75.576,65529.9492
75.663,65531.7383
75.750,65528.1289
75.836,65526.1289
75.923,65524.4883
76.010,65523.6445
76.096,65522.6250
76.183,65509.3672
76.270,65527.7539
76.356,65523.1836
76.443,65522.3359
76.530,65527.7578
76.616,65515.3906
76.703,65516.1328
76.790,65524.0586
76.876,65517.0469
76.963,65534.1914
77.050,65525.3672
77.136,65522.6797
77.223,65507.7031
77.310,65516.2305
77.396,65533.8906
77.483,65529.1250
77.570,65526.6758
77.656,65518.0430
77.743,65524.7461
77.830,65520.8438
77.916,65533.5352
78.003,65509.0000
78.090,65516.1523
78.176,65515.8828
78.263,65513.3008
78.350,65507.7031
78.436,65510.6914
78.523,65496.5859
78.610,65510.8750
78.696,65505.1406
78.783,65486.9453
78.870,65502.8750
78.956,65499.5352
79.043,65489.9102
79.130,65498.0859
79.216,65488.9844
79.303,65496.8242
79.390,65505.1250
79.477,65500.8281
79.563,65499.7422
79.650,65497.2539
79.737,65499.4961
79.823,65512.8438
79.910,65497.8164
79.997,65506.1602
80.083,65514.9648
80.170,65523.4492
80.257,65517.5234
80.343,65507.7656
80.430,65516.6797
80.517,65522.1055
80.603,65534.2617
80.690,65533.5469
80.777,65526.6445
80.863,65534.2930
80.950,65521.0938
81.037,65529.3125
81.123,65526.6094
81.210,65521.0000
81.297,65535.0000
81.383,65535.0000
81.470,65533.6602
81.557,65535.0000
81.643,65515.1250
81.730,65528.4531
81.817,65518.8945
81.903,65527.1758
81.990,65523.4062
82.077,65526.5117
82.163,65528.0547
82.250,65513.6016
82.337,65535.0000
82.423,65524.8398
82.510,65511.4805
82.597,65522.0508
82.683,65513.0000
82.770,65514.0742
82.857,65534.9531
82.943,65520.2969
83.030,65513.7773
83.117,65524.5078
83.203,65516.3086
83.290,65528.7852
83.377,65534.5820
83.463,65520.9609
83.550,65531.1602
83.637,65528.9609
83.723,65504.2109
83.810,65524.5195
83.897,65516.0000
83.983,65520.3477
84.070,65526.9648
84.157,65520.0312
84.243,65534.0117
84.330,65534.7539
84.417,65534.2812
84.503,65522.5938
84.590,65530.5547
84.677,65519.9453
84.763,65525.9492
84.850,65534.7500
84.937,65534.4492
85.023,65505.6641
85.110,65521.0234
85.197,65534.6016
85.283,65520.0977
85.370,65517.1523
85.457,65512.1953
85.543,65524.1875
85.630,65534.8242
85.717,65526.9844
85.803,65511.0703
85.890,65518.1953
85.977,65522.9648
86.063,65518.0547
86.150,65534.8516
86.237,65519.8750
86.323,65527.0625
86.410,65517.0078
86.497,65519.0195
86.583,65520.0234
86.670,65523.9492
86.757,65516.0312
86.843,65522.0078
86.930,65523.0039
87.017,65535.0000
87.103,65531.0039
87.190,65531.9727
87.277,65526.0234
87.363,65522.0117
87.450,65532.9766
87.537,65529.9570
87.624,65515.9570
87.710,65531.9688
87.797,65528.0195
87.884,65529.0586
87.970,65510.2422
88.057,65510.2266
88.144,65507.1289
88.230,65527.7500
88.317,65516.0742
88.404,65517.5859
88.490,65519.6094
88.577,65498.9297
88.664,65506.0195
88.750,65514.8398
88.837,65493.0820
88.924,65507.0234
89.010,65506.6797
89.097,65509.8555
89.184,65495.1484
89.270,65496.1289
89.357,65479.5898
89.444,65495.9727
89.530,65505.0273
89.617,65514.3711
89.704,65501.5664
89.790,65507.4453
89.877,65495.2969
89.964,65498.7969
90.050,65510.1055
90.137,65519.0000
90.224,65503.1094
90.310,65502.4531
90.397,65518.9609
90.484,65525.8398
90.570,65521.0000
90.657,65518.4961
90.744,65533.2734
90.830,65535.0000
90.917,65534.7773
91.004,65521.5508
91.090,65534.6719
91.177,65518.2812
91.264,65521.6602
91.350,65514.0977
91.437,65531.1875
91.524,65534.5859
91.610,65533.6289
91.697,65528.1914
91.784,65526.0547
91.870,65531.2227
91.957,65497.9297
92.044,65520.0586
92.130,65523.4727
92.217,65528.8203
92.304,65521.8516
92.390,65534.8164
92.477,65525.5625
92.564,65521.7461
92.650,65513.1953
92.737,65521.7891
92.824,65521.0000
92.910,65516.4727
92.997,65533.6562
93.084,65519.8594
93.170,65505.7266
93.257,65517.4297
93.344,65514.1445
93.430,65532.6406
93.517,65527.0000
93.604,65516.2422
93.690,65522.9961
93.777,65515.2422
93.864,65505.1797
93.950,65517.4336
94.037,65529.2734
94.124,65508.3672
94.210,65532.3555
94.297,65528.1641
94.384,65520.8984
94.470,65515.7969
94.557,65517.6914
94.644,65523.1406
94.730,65523.0508
94.817,65515.5508
94.904,65526.3672
94.990,65535.0000
95.077,65534.3516
95.164,65526.4688
95.250,65526.1484
95.337,65524.5234
95.424,65514.0625
95.510,65523.2422
95.597,65515.0977
95.684,65527.7969
95.771,65533.1953
95.857,65516.1328
95.944,65521.4883
96.031,65525.5859
96.117,65523.5352
96.204,65512.1055
96.291,65531.4258
96.377,65518.8906
96.464,65517.1719
96.551,65513.8633
96.637,65525.1094
96.724,65533.2148
96.811,65529.5352
96.897,65534.2070
96.984,65527.8242
97.071,65516.9648
97.157,65534.0664
97.244,65525.1172
97.331,65526.2383
97.417,65530.6523
97.504,65527.9648
97.591,65533.1758
